type,description,rate,hsn
goods,"Articles of apparel and clothing accessories, knitted or crocheted, of sale value exceeding Rs. 1000 per piece",12,61
goods,"Articles of apparel and clothing accessories, not knitted or crocheted, of sale value exceeding Rs. 1000 per piece",12,62
goods,"Other made up textile articles, sets, worn clothing and worn textile articles and rags, of sale value exceeding Rs. 1000 per piece",12,63
goods,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas)",12,6601
goods,"Walking-sticks, seat-sticks, whips, riding-crops and the like",12,6602
goods,"Parts, trimmings and accessories of articles of heading 6601 or 6602",12,6603
goods,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes)",12,6701
goods,Sand lime bricks,12,68
goods,Fly ash bricks and fly ash blocks,12,6815
goods,Glasses for corrective spectacles and flint buttons,12,7015 10
goods,"Globes for lamps and lanterns, Founts for kerosene wick lamps, Glass chimneys for lamps and lanterns",12,7020
goods,"Mathematical boxes, geometry boxes and colour boxes, pencil sharpeners",12,7310 or 7326
goods,Animal shoe nails,12,7317
goods,Sewing needles,12,7319
goods,"Kerosene burners, kerosene stoves and wood burning stoves of iron or steel",12,7321
goods,"Table, kitchen or other household articles of iron & steel; Utensils",12,7323
goods,"Table, kitchen or other household articles of copper; Utensils",12,7418
goods,"Table, kitchen or other household articles of aluminium; Utensils",12,7615
goods,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 8208, and blades therefor",12,8211
goods,"Paper knives, Pencil sharpeners and blades therefor",12,8214
goods,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware",12,8215
goods,"Fuel elements (cartridges), non-irradiated, for nuclear reactors",12,8401
goods,Fixed Speed Diesel Engines of power not exceeding 15HP,12,8408
goods,"Power driven pumps primarily designed for handling water, namely, centrifugal pumps (horizontal and vertical), deep tube-well turbine pumps, submersible pumps, axial flow and mixed flow vertical pumps",12,8413
goods,Bicycle pumps,12,8414 20 10
goods,Other hand pumps,12,8414 20 20
goods,Parts of air or vacuum pumps and compressors of bicycle pumps,12,8414 90 12
goods,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",12,8432
goods,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 8437",12,8433
goods,Milking machines and dairy machinery,12,8434
goods,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",12,8436
goods,Sewing machines,12,8452
goods,Composting Machines,12,8479
goods,Telephones for cellular networks or for other wireless networks,12,8517
goods,Parts for manufacture of Telephones for cellular networks or for other wireless networks,12,85
goods,"Two-way radio (Walkie talkie) used by defence, police and paramilitary forces etc.",12,8525 60
goods,LED lamps,12,8539
goods,"Electrically operated vehicles, including two and three wheeled electric motor vehicles",12,87
goods,Tractors (except road tractors for semi-trailers of engine capacity more than 1800 cc),12,8701
goods,"Bicycles and other cycles (including delivery tricycles), not motorised",12,8712
goods,"Parts and accessories of bicycles and other cycles (including delivery tricycles), not motorised, of 8712",12,8714
goods,Self-loading or self-unloading trailers for agricultural purposes,12,8716 20 00
goods,"Hand propelled vehicles (e.g. hand carts, rickshaws and the like); animal drawn vehicles",12,8716 80
goods,Blood glucose monitoring system (Glucometer) and test strips,12,90 or any other Chapter
goods,Patent Ductus Arteriousus / Atrial Septal Defect occlusion device,12,90 or any other Chapter
goods,Contact lenses; Spectacle lenses,12,9001
goods,Intraocular lens,12,9002
goods,"Spectacles, corrective",12,9004
goods,Drawing and marking out instruments; Mathematical calculating instruments; pantographs; Other drawing or marking out instruments,12,9017 20
goods,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments",12,9018
goods,"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus",12,9019
goods,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters",12,9020
goods,"Orthopaedic appliances, including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body",12,9021
goods,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, control panels and desks, screens, examinations or treatment tables, chairs and the light",12,9022
goods,Coir products [except coir mattresses],12,9404
goods,Products wholly made of quilted textile materials,12,9404
goods,"Hurricane lanterns, Kerosene lamp / pressure lantern, petromax, glass chimney, and parts thereof",12,"9405,  9405 50 31"
goods,LED lights or fixtures including LED lamps,12,9405
goods,LED (light emitting diode) driver and MCPCB (Metal Core Printed Circuit Board),12,9405
goods,"Toys like tricycles, scooters, pedal cars etc. (including parts and accessories thereof) [other than electronic toys]",12,9503
goods,"Playing cards, chess board, carom board and other board games, like ludo, etc. [other than Video game consoles and Machines]",12,9504
goods,Sports goods other than articles and equipments for general physical exercise,12,9506
goods,"Fishing rods, fishing hooks, and other line fishing tackle; fish landing nets, butterfly nets and smilar nets; decoy “birds” (other than those of heading 9208) and similar hunting or shooting requisites",12,9507
goods,"Pens [other than Fountain pens, stylograph pens]",12,9608
goods,"Pencils (including propelling or sliding pencils), crayons, pastels, drawing charcoals and tailor’s chalk",12,"9608, 9609"
goods,"Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading 8516, and parts thereof",12,9615
goods,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",12,9619
goods,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand-painted or hand-decorated manufactured articles; collages and similar decorative plaques",12,9701
goods,"Original engravings, prints and lithographs",12,9702
goods,"Original sculptures and statuary, in any material",12,9703
goods,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical, historical, archaeological, paleontological, ethnographic or numismatic interest [other than numismatic coins]",12,9705
goods,Antiques of an age exceeding one hundred years,12,9706
goods,Other Drugs and medicines intended for personal use,12,9804
goods,"Lottery run by State Governments Explanation 1.- For the purposes of this entry, value of supply of lottery under sub-section (5) of section 15 of the Central Goods and Services Tax Act, 2017 read with section 20 of the Integrated Goods and Services Tax Act, 2017 (13 of 2017) shall be deemed to be 100/112 of the face value of ticket or of the price as notified in the Official Gazette by the organising State, whichever is higher. Explanation 2.- (1) “Lottery run by State Governments” means a lottery not allowed to be sold in any state other than the organising state. (2) Organising state has the same meaning as assigned to it in clause (f) of sub-rule (1) of rule 2 of the Lotteries (Regulation) Rules, 2010.",12,-
goods,Condensed milk,18,"0402 91 10,  0402 99 20"
goods,"Malt, whether or not roasted",18,1107
goods,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products.",18,1302
goods,Bidi wrapper leaves (tendu),18,1404 90 10
goods,Indian katha,18,1404 90 50
goods,"All goods i.e. Margarine, Linoxyn",18,1517 10
goods,"Glycerol, crude; glycerol waters and glycerol lyes",18,1520 00 00
goods,"Vegetable waxes (other than triglycerides), Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",18,1521
goods,"Degras, residues resulting from the treatment of fatty substances or animal or vegetable waxes",18,1522
goods,"All goods, including refined sugar containing added flavouring or colouring matter, sugar cubes",18,"1701 91, 1701 99"
goods,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel [other than palmyra sugar and Palmyra jaggery]",18,1702
goods,"Sugar confectionery (excluding white chocolate and bubble / chewing gum) [other than bura, batasha]",18,1704
goods,"Preparations suitable for infants or young children, put up for retail sale",18,1901
goods,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",18,1902
goods,"All goods i.e. Corn flakes, bulgar wheat, prepared foods obtained from cereal flakes [other than Puffed rice, commonly known as Muri, flattened or beaten rice, commonly known as Chira, parched rice, commonly known as khoi, parched paddy or rice coated with sugar or gur, commonly known as Murki]",18,1904 [other than 1904 10 20]
goods,"All goods i.e. Waffles and wafers other than coated with chocolate or containing chocolate; biscuits; Pastries and cakes [other than pizza bread, Waffles and wafers coated with chocolate or containing chocolate, papad, bread]",18,"1905 [other than 1905 32 11, 1905 90 40]"
goods,"All goods i.e Extracts, essences and concentrates of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate",18,2101 20
goods,Curry paste,18,2103 90 10
goods,Mayonnaise and salad dressings,18,2103 90 30
goods,Mixed condiments and mixed seasoning,18,2103 90 40
goods,Soups and broths and preparations therefor; homogenised composite food preparations,18,2104
goods,"Ice cream and other edible ice, whether or not containing cocoa",18,2105 00 00
goods,"All kinds of food mixes including instant food mixes, soft drink concentrates, Sharbat, Betel nut product known as ""Supari"", Sterilized or pasteurized millstone, ready to eat packaged food and milk containing edible nuts with sugar or other ingredients, Diabetic foods; [other than Namkeens, bhujia, mixture, chabena and   similar edible preparations in ready for consumption form]",18,2106
goods,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured",18,2201
goods,"Ethyl alcohol and other spirits, denatured, of any strength",18,2207
goods,Vinegar and substitutes for vinegar obtained from acetic acid,18,2209
goods,Sulphur recovered as by-product in refining of crude oil,18,2503 00 10
goods,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel",18,2619
goods,"Slag, ash and residues (other than from the manufacture of iron or steel) containing metals, arsenic or their compounds",18,2620
goods,"Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste",18,2621
goods,"Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents, such as Benzole (benzene), Toluole (toluene), Xylole (xylenes), Naphthelene",18,2707
goods,"Pitch and pitch coke, obtained from coal tar or from other mineral tars",18,2708
goods,"Petroleum oils and oils obtained from bituminous minerals, other than petroleum crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils; [other than Avgas and Kerosene PDS and other than petrol, Diesel and ATF, not in GST]",18,2710
goods,"Petroleum gases and other gaseous hydrocarbons, such as Propane, Butanes, Ethylene, propylene, butylene and butadiene [Other than Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers or to non-domestic exempted category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan petroleum Corporation Limited or Bharat Petroleum Corporation Limited]",18,2711
goods,"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured",18,2712
goods,"Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals",18,2713
goods,"Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks",18,2714
goods,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs)",18,2715
goods,All inorganic chemicals [other than those specified in the Schedule for exempted goods or other Rate Schedules for goods],18,28
goods,All organic chemicals other than giberellic acid,18,29
goods,Nicotine polacrilex gum,18,30
goods,"Mineral or chemical fertilisers, nitrogenous, other than those which are clearly not to be used as fertilizers",18,3102
goods,"Mineral or chemical fertilisers, phosphatic, which are clearly not to be used as fertilizers",18,3103
goods,"Mineral or chemical fertilisers, potassic, which are clearly not to be used as fertilizers",18,3104
goods,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg, which are clearly not to be used as fertilizers",18,3105
goods,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives (other than Wattle extract, quebracho extract, chestnut extract)",18,3201
goods,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances (other than Enzymatic preparations for pre-tanning)",18,3202
goods,"Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on colouring matter of vegetable or animal origin",18,3203
goods,"Synthetic organic colouring matter, whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on synthetic organic colouring matter; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores, whether or not chemically defined",18,3204
goods,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes,18,3205
goods,"Other colouring matter; preparations as specified in Note 3 to this Chapter, other than those of heading 32.03, 32.04 or 32.05; inorganic products of a kind used as luminophores, whether or not chemically defined",18,3206
goods,"Prepared pigments, prepared opacifiers, prepared colours, vitrifiable enamels, glazes, engobes (slips), liquid lustres, and other similar preparations of a kind used in ceramic, enamelling or glass industry",18,3207
goods,Prepared driers,18,3211 00 00
goods,"Pigments (including metallic powders and flakes) dispersed in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints (including enamels); stamping foils; dyes and other colouring matter put up in forms or packings for retail sale",18,3212
goods,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid (Fountain pen ink and Ball pen ink)",18,3215
goods,"Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the deterpenation of essential oils; aqueous distillates and aqueous solutions of essential oils; such as essential oils of citrus fruit, essential oils other than those of citrus fruit such as Eucalyptus oil, etc., Flavouring essences all types (including those for liquors), Attars of all kinds in fixed oil bases",18,3301
goods,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufacture of beverages; such as Synthetic perfumery compounds [other than Menthol and menthol crystals, Peppermint (Mentha Oil), Fractionated / de-terpenated mentha oil (DTMO), De-mentholised oil (DMO), Spearmint oil, Mentha piperita oil]",18,3302
goods,Kajal pencil sticks,18,3304 20 00
goods,Hair oil,18,"3305 9011, 3305 90 19"
goods,Dentifices - Toothpaste,18,3306 10 20
goods,"Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap",18,3401 [except 340130]
goods,Artificial waxes and prepared waxes,18,3404
goods,"Preparations known as “dental wax” or as “dental impression compounds”, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms; other preparations for use in dentistry, with a basis of plaster (of calcined gypsum or calcium sulphate)",18,3407
goods,"Casein, caseinates and other casein derivatives; casein glues",18,3501
goods,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives",18,3502
goods,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 3501",18,3503
goods,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed; including Isolated soya protein",18,3504
goods,"Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches",18,3505
goods,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg",18,3506
goods,"Enzymes, prepared enzymes",18,3507
goods,Propellant powders,18,3601
goods,Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators,18,3603
goods,Matches (other than handmade safety matches [3605 00 10]),18,3605
goods,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs; such as Instant print film, Cinematographic film (other than for x-ray for Medical use)",18,3701
goods,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed",18,3702
goods,"Photographic paper, paperboard and textiles, sensitised, unexposed",18,3703
goods,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed",18,3704
goods,"Photographic plates and films, exposed and developed, whether or not incorporating sound track or consisting only of sound track, for feature films",18,3706
goods,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use",18,3707
goods,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures",18,3801
goods,"Activated carbon; activated natural mineral products; animal black, including spent animal black",18,3802
goods,"Tall oil, whether or not refined",18,3803 00 00
goods,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates",18,3804
goods,"Gum, wood or sulphate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulphite turpentine and other crude para-cymene; pine oil containing alpha-terpineol as the main constituent",18,3805
goods,"Rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; run gums",18,3806
goods,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",18,3807
goods,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products",18,3808
goods,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included",18,3809
goods,"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, brazing or welding; soldering, brazing or welding powders and pastes consisting of metal and other materials; preparations of a kind used as cores or coatings for welding electrodes or rods",18,3810
goods,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, not elsewhere specified or included; anti-oxidising preparations and other compound stabilisers for rubber or plastics.; such as Vulcanizing agents for rubber",18,3812
goods,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included",18,3815
goods,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 3801",18,3816
goods,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 2707 or 2902",18,3817
goods,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics [other than silicon wafers]",18,3818
goods,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",18,3821
goods,"Industrial monocarboxylic fatty acids, acid oils from refining; industrial fatty alcohols",18,3823
goods,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included",18,3824
goods,"Residual products of the chemical or allied industries, not elsewhere specified or included; [except municipal waste; sewage sludge; other wastes specified in Note 6 to this Chapter.]",18,3825
goods,"Biodiesel and mixtures thereof, not containing or containing less than 70% by weight of petroleum oils and oils obtained from bituminous minerals",18,3826
goods,"All goods i.e. polymers; Polyacetals, other polyethers, epoxide resins, polycarbonates, alkyd resins, polyallyl esters, other polyesters; polyamides; Amino-resins, phenolic resins and polyurethanes; silicones; Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in Note 3 to this Chapter, not elsewhere specified or included; Cellulose and its chemical derivatives, not elsewhere specified or included; Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included; in primary forms",18,3901 to 3913
goods,"Ion exchangers based on polymers of headings 3901 to 3913, in primary forms",18,3914
goods,"Waste, parings and scrap, of plastics",18,3915
goods,"Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics",18,3916
goods,"Tubes, pipes and hoses, and fittings therefor, of plastics",18,3917
goods,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls",18,3919
goods,"Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",18,3920
goods,"Other plates, sheets, film, foil and strip, of plastics",18,3921
goods,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics",18,3923
goods,"Tableware, kitchenware, other household articles and hygienic or toilet articles, of plastics",18,3924
goods,"Builder's wares of plastics, not elsewhere specified",18,3925
goods,"PVC Belt Conveyor, Plastic Tarpaulin",18,3926
goods,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 4001 with any product of this heading, in primary forms or in plates, sheets or strip; such as Latex, styrene butadiene rubber, butadiene rubber (BR), Isobutene-isoprene (butyl) rubber (IIR), Ethylene-propylene-Non-conjugated diene rubber (EPDM)",18,4002
goods,"Reclaimed rubber in primary forms or in plates, sheets or strip",18,4003
goods,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom",18,4004
goods,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip",18,4005
goods,"Other forms (for example, rods, tubes and profile shapes) and articles (for example, discs and rings), of unvulcanised rubber",18,4006
goods,"Vulcanised rubber thread and cord, other than latex rubber thread",18,4007
goods,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber",18,4008
goods,"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their fittings (for example, joints, elbows, flanges)",18,4009
goods,"Conveyor or transmission belts or belting, of vulcanised rubber",18,4010
goods,Rear Tractor tyres and rear tractor tyre tubes,18,4011
goods,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber; such as Hot water bottles, Ice bags [other than Sheath contraceptives, Rubber contraceptives, male (condoms), Rubber contraceptives, female (diaphragms), such as cervical caps]",18,4014
goods,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber [other than Surgical gloves]",18,4015
goods,School satchels and bags other than of leather or composition leather,18,4202
goods,Toilet cases,18,4202 12 10
goods,"Hand bags and shopping bags, of artificial plastic material",18,4202 22 10
goods,"Hand bags and shopping bags, of cotton",18,4202 22 20
goods,"Hand bags and shopping bags, of jute",18,4202 22 30
goods,Vanity bags,18,4202 22 40
goods,Handbags of other materials excluding wicker work or basket work,18,4202 29 10
goods,"Raw furskins (including heads, tails, paws and other pieces or cuttings, suitable for furriers' use), other than raw hides and skins of heading 4101, 4102 or 4103.",18,4301
goods,"Tanned or dressed furskins (including heads, tails, paws and other pieces or cuttings), unassembled, or assembled (without the addition of other materials) other than those of heading 4303",18,4302
goods,Artificial fur and articles thereof,18,4304
goods,Wood in the rough,18,4403
goods,Wood sawn or chipped,18,4407
goods,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm [other than for match splints]",18,4408
goods,"Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, v-jointed, beaded, moulded, rounded or the like) along any of its edges or faces, whether or not planed, sanded or end-jointed",18,4409
goods,"Resin bonded bamboo mat board, with or without veneer in between",18,44 or any Chapter
goods,Bamboo flooring tiles,18,44 or any Chapter
goods,Tableware and Kitchenware of wood,18,4419
goods,"Waste cork; crushed, granulated or ground cork",18,4501
goods,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",18,4502
goods,"Articles of natural cork such as Corks and Stoppers, Shuttlecock cork bottom",18,4503
goods,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,18,4504
goods,"Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or sanitary purposes, cellulose wadding and webs of cellulose fibres, whether or not creped, crinkled, embossed, perforated, surface-coloured, surface-decorated or printed, in rolls or sheets",18,4803
goods,"Vegetable parchment, tracing papers and other glazed transparent or translucent papers, in rolls or sheets (other than greaseproof paper, glassine paper)",18,"4806 [Except 4806 20 00, 4806 40 10]"
goods,"Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets",18,4809
goods,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in heading 4803, 4809 or 4810 [Other than aseptic packaging paper]",18,4811
goods,"Filter blocks, slabs and plates, of paper pulp",18,4812
goods,"Cigarette paper, whether or not cut to size or in the form of booklets or tubes",18,4813
goods,"Carbon paper, self-copy paper and other copying or transfer papers (other than those of heading 4809), duplicator stencils and offset plates, of paper, whether or not put up in boxes",18,4816
goods,"Envelopes, letter cards, plain postcards and correspondence cards, of paper or paperboard; [other than boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery including writing blocks]",18,4817 [Except 4817 30]
goods,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, table cloths, serviettes, napkins for babies, tampons, bed sheets and similar household, sanitary or hospital articles, articles of apparel and clothing accessories, or paper pulp, paper, cellulose wadding or webs of cellulose fibres",18,4818
goods,"Registers, account books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationary, of paper or paperboard; and  book covers, of paper or paperboard [other than note books and exercise books]",18,4820
goods,"Paper or paperboard labels of all kinds, whether or not printed",18,4821
goods,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard (whether or not perforated or hardened)",18,4822
goods,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres [other than paper pulp moulded trays, Braille paper]",18,4823
goods,"Sewing thread of manmade filaments, whether or not put up for retail sale",18,5401
goods,"All synthetic filament yarn such as nylon, polyester, acrylic, etc.",18,"5402, 5404, 5406"
goods,"All artificial filament yarn such as viscose rayon, Cuprammonium, etc.",18,"5403, 5405, 5406"
goods,Synthetic or artificial filament tow,18,"5501, 5502"
goods,Synthetic or artificial staple fibres,18,"5503, 5504, 5506, 5507"
goods,Waste of manmade fibres,18,5505
goods,Sewing thread of manmade staple fibres,18,5508
goods,Yarn of manmade staple fibres,18,"5509, 5510, 5511"
goods,"Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes",18,6401
goods,Other footwear with outer soles and uppers of rubber or plastics,18,6402
goods,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather",18,6403
goods,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials",18,6404
goods,Other footwear,18,6405
goods,"Parts of footwear (including uppers whether or not attached to soles other than outer soles); removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof",18,6406
goods,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt",18,6501
goods,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed",18,6502
goods,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed",18,6504 00 00
goods,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed",18,6505
goods,"Other headgear, whether or not lined or trimmed",18,6506
goods,"Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear",18,6507
